Проект,Категории,Цена,Заявки
Парсер + бот в Telegram на Bot API,Прикладное ПО,Нет цены,8 заявок
Доработать сайт,Веб-программирование,Нет цены,9 заявок
Редизайн сайта (4 страницы),Дизайн сайтов,Нет цены,93 заявки
Подписать приложение с помощью terminal на macbook.,ПО для мобильных устройств,Нет цены,нет заявок
Техническая поддержка и продвижение сайта частного отеля,Служба поддержки,Нет цены,20 заявок
Специалист по продаже сетевого оборудования,Управление продажами,Нет цены,4 заявки
Создать логотип для компании,Логотипы и Знаки,$50,28 заявок
Нарисовать интуитивное восприятие ряда слов.,Иллюстрации и Рисунки,Нет цены,95 заявок
Интернет магазин постельного белья.,Интернет-магазины,Нет цены,26 заявок
Заказ №847733,3D-графика,$2000,19 заявок
Заказ №847979,Веб-программирование,$1000,38 заявок
Написать техническую документацию по реализацию email-клиент-сервера,Копирайтинг,Нет цены,5 заявок
Заказ №845976,Веб-программирование,Нет цены,24 заявки
Заказ №846265,Веб-программирование,$1000,12 заявок
Нужен копирайтер на постоянку в фитнес тематику,Копирайтинг,Нет цены,29 заявок
Доработка проекта на CodeIgniter,Веб-программирование,Нет цены,29 заявок
"Есть дизайн,нужен сайт(верстка,программинг,наполнение)",Веб-программирование,$4300,26 заявок
Сделать Верстку и натяжку,HTML-верстка,Нет цены,35 заявок
Написать парсер под Google с распознаванием капчи,Веб-программирование,Нет цены,4 заявки
Верстка-программирование Джумла,Системы управления (CMS),Нет цены,48 заявок
Заказ №843694,Копирайтинг,Нет цены,47 заявок
Заказ №843537,Системное администрирование,Нет цены,7 заявок
Разработать дизайна мешка/сумки (packing cubes) под вещи,Дизайн продукции,$90,5 заявок
Доделать Upload картинок и их вывод на странице. PHP,Веб-программирование,Нет цены,нет заявок
Верстка видео плеера с адаптацией под десктопные и мобильные браузеры,HTML-верстка,$75,1 заявка
Написать статью,Копирайтинг,Нет цены,1 заявка
Программист yii способный быстро закончить проект.,Веб-программирование,$400,2 заявки
Сверстанные  макеты установить на цмс,Системы управления (CMS),Нет цены,2 заявки
Верстка макетов бокс,HTML-верстка,Нет цены,8 заявок
Написание обзоров,Копирайтинг,Нет цены,нет заявок
Контекстная реклама для двух сайтов,Контекстная реклама,Нет цены,7 заявок
Сделать дизайн таблички на дверь офиса.,Дизайн продукции,Нет цены,5 заявок
Настройка контекстной рекламы Яндекс,Контекстная реклама,Нет цены,8 заявок
Создать похожую работу,Баннеры,Нет цены,6 заявок
Создать функционал на сайте для получения товаров с API aliexpress,Веб-программирование,Нет цены,3 заявки
Нужна верстка,HTML-верстка,Нет цены,3 заявки
Разработка лендинга,Веб-программирование,Нет цены,1 заявка
Необходимо доработать облачный Битрикс24,Веб-программирование,Нет цены,1 заявка
Оптимизация скорости загрузки сайта,Веб-программирование,Нет цены,9 заявок
"Правки roistat в php коде(интеграция roistat с сайтами, crm)",Веб-программирование,Нет цены,нет заявок
Подключить онлайн кассу Старрус к Сайту,Веб-программирование,Нет цены,2 заявки
"Рекламная кампания по набору персонала в FB, настройка, оптимизация",Социальные сети (SMM и SMO),Нет цены,1 заявка
Написание текстов,Копирайтинг,Нет цены,2 заявки
Создать сайт,Дизайн сайтов,Нет цены,31 заявка
Провоцирование обсуждений на форумах.,Социальные сети (SMM и SMO),Нет цены,5 заявок
